City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Nouadhibou,MR,20.931,-17.0347,71.49,83,5,23.44,clear sky
209,Saskylakh,RU,71.9167,114.0833,33.76,98,100,12.21,overcast clouds
210,Longyearbyen,SJ,78.2186,15.6401,46.24,61,40,11.5,scattered clouds
211,Chegem,RU,43.2833,43.1333,30.33,99,100,2.28,light snow
212,Codrington,AU,-38.2667,141.9667,51.33,89,21,15.55,few clouds
213,Yar-Sale,RU,66.8333,70.8333,40.33,77,100,13.4,overcast clouds
214,Mahebourg,MU,-20.4081,57.7,71.89,83,75,10.36,broken clouds
215,Hiriyur,IN,13.9456,76.6192,73.78,78,100,13.11,overcast clouds
216,Barcelos,PT,41.5388,-8.6151,80.28,55,64,4.56,moderate rain
217,Ayagoz,KZ,47.9714,80.4392,40.71,49,16,11.25,few clouds
218,Saint George,US,37.1041,-113.5841,84.67,20,1,3.44,clear sky
219,Baruun-Urt,MN,46.6806,113.2792,51.39,74,99,10.94,overcast clouds
220,Hofn,IS,64.2539,-15.2082,37.42,93,90,2.3,light intensity drizzle rain
221,Bubaque,GW,11.2833,-15.8333,82.69,72,100,6.58,overcast clouds
222,Mayo,US,38.8876,-76.5119,68.49,92,90,1.01,overcast clouds
223,Aguimes,ES,27.9054,-15.4461,75.83,57,40,23.02,scattered clouds
224,Karlstad,SE,59.3793,13.5036,52.36,87,68,5.75,broken clouds
225,Upernavik,GL,72.7868,-56.1549,27.07,79,71,7.27,broken clouds
226,Cap-Aux-Meules,CA,47.3821,-61.8597,61.05,90,61,15.35,broken clouds
227,Tiksi,RU,71.6872,128.8694,37.35,89,100,23.58,overcast clouds
228,Country Club,US,25.9482,-80.317,92.01,69,1,3.44,clear sky
229,Omboue,GA,-1.5746,9.2618,78.35,80,86,9.57,light rain
230,Boksitogorsk,RU,59.474,33.8485,46.53,95,98,7.96,overcast clouds
231,Castro,BR,-24.7911,-50.0119,69.91,37,41,6.06,scattered clouds
232,Witu,KE,-2.3889,40.4382,77.16,83,9,10.27,clear sky
233,Albanel,CA,48.8832,-72.4487,48.38,98,100,6.58,moderate rain
234,Batagay,RU,67.6333,134.6333,37.06,83,99,4.34,overcast clouds
235,Vostok,RU,46.4856,135.8833,39.13,94,13,2.06,few clouds
236,Maine-Soroa,NE,13.2114,12.0241,88.77,42,100,7.02,overcast clouds
237,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,93,90,27.63,overcast clouds
238,Cidreira,BR,-30.1811,-50.2056,64.4,69,79,21.63,moderate rain
239,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,32,75,17.27,broken clouds
240,Yulara,AU,-25.2406,130.9889,48.04,40,1,0.0,clear sky
241,Katsuura,JP,35.1333,140.3,73.51,85,95,3.83,overcast clouds
242,Egvekinot,RU,66.3167,-179.1667,24.57,95,100,2.64,light snow
243,Tagajo,JP,38.2937,141.0056,69.57,66,97,8.97,moderate rain
244,Morden,CA,49.1919,-98.1014,71.44,27,68,16.28,broken clouds
245,Margate,GB,51.3813,1.3862,70.7,75,100,7.7,overcast clouds
246,Shingu,JP,33.7333,135.9833,70.92,75,94,5.48,overcast clouds
247,Cartagena,CO,10.3997,-75.5144,89.22,70,40,9.22,scattered clouds
248,Clyde River,CA,70.4692,-68.5914,32.23,80,75,20.71,broken clouds
249,Gilgit,PK,35.9221,74.3087,76.75,46,17,3.47,few clouds
250,Gat,IL,31.61,34.7642,77.92,100,0,8.61,clear sky
251,Tuatapere,NZ,-46.1333,167.6833,45.82,81,56,12.64,broken clouds
252,Cumpas,MX,29.9833,-109.7833,73.78,69,93,5.5,overcast clouds
